facility_name,address,unique_lga,state,latitude,longitude,emergency_transport,ratings
HEALTH POST KAGBANG,"Obudu, Cross River",cross_river_obudu, Cross River,6.54340807,9.08470312,True,4
Alhari Clinic,"Udeni-Magaji, Nassarawa",nasarawa_karu, Nassarawa,9.00720861,7.67780798,True,2
Primary health centre umukuru okehi,"Omumma, Rivers",rivers_etche, Rivers,5.1297,7.1592,True,1
PHC EHOM CENTRAL,"A4, Biase, Cross River",cross_river_biase, Cross River,5.4633,8.1464,False,3
Health post,"Biase, Cross River",cross_river_biase, Cross River,5.504,8.0251,False,4
Tula Medical Centre,"Burutu, Delta",bayelsa_ekeremor, Delta,5.0762,5.8715,True,1
HEALTH POST OKIRO,"Boki, Cross River",cross_river_obudu, Cross River,6.4475,9.0491,False,1
Westend Hospital,"25th, Uvwie, Delta",delta_warri_south, Delta,5.546,5.7611,True,4
Lily Hospitals Ltd,"Ziregbe Street, Warri South, Delta",delta_warri_south, Delta,5.5258,5.7651,True,4
Muazu Ahmed H/C Ishame,"Ambe-Sarki, Kaduna",kaduna_lere, Kaduna,10.28522539,8.59439187,False,2
Health Clinic,"Ambe-Sarki, Kaduna",kaduna_lere, Kaduna,10.22665733,8.64540817,False,1
Uche Chukwu maternity,"Port Harcourt-Aba Road, Oyigbo, Rivers",rivers_oyigbo, Rivers,4.87127395,7.14346766,True,4
Lafia medical clinic,"Oyigbo, Rivers",rivers_oyigbo, Rivers,4.86070579,7.1528916,True,3
Dalal Clinic,"Wudil, Kano",kano_gwarzo, Kano,11.8354,7.9495,False,4
RUGAR JABE DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.6735,7.8887,False,3
BAURE PHC,"Sabua, Katsina",katsina_bindawa, Katsina,12.7717,7.8819,False,4
Shekewa Dispensary,"Sabua, Katsina",katsina_batsari, Katsina,12.8832,7.1929,True,3
Maternity Health Clinic,"Mallan-Kagwa, Taraba",taraba_gashaka, Taraba,7.7124,11.4799,False,4
LAWILTU DISPENSARY,"Dwaja, Gombe",gombe_billiri, Gombe,9.9622,11.2152,False,1
Gabarin HC,"Potiskum-Darazo Road, Sara, Bauchi",bauchi_darazo, Bauchi,11.1151,10.4391,True,2
Dayi dispensary,"A3, Sara, Bauchi",bauchi_darazo, Bauchi,10.8871,10.3579,False,1
General Hospital Darazo,"A3, Darazo, Bauchi",bauchi_darazo, Bauchi,10.9953,10.4094,True,2
G/Goje Dispensary,"Sabua, Katsina",katsina_batsari, Katsina,12.8525,7.3336,True,1
Cliinic C,"Yola-Mubi Road, Songeli, Adamawa",adamawa_hong, Adamawa,10.2278,12.9275,False,1
